"lat","lon","year","hooks","fleet","res","reslat","reslon","pixels","hooks2"
5,-50,2019,36800,"028PA05","5*5",1,1,1,36800
5,-55,2019,59000,"028PA05","5*5",1,1,1,59000
5,-55,2019,55200,"028PA05","5*5",1,1,1,55200
5,-55,2019,16400,"028PA05","5*5",1,1,1,16400
5,-55,2019,34900,"028PA05","5*5",1,1,1,34900
5,-55,2019,13300,"028PA05","5*5",1,1,1,13300
5,-60,2019,16400,"028PA05","5*5",1,1,1,16400
5,-40,2019,2400,"028PA05","5*5",1,1,1,2400
5,-45,2019,7400,"028PA05","5*5",1,1,1,7400
5,-45,2019,4900,"028PA05","5*5",1,1,1,4900
5,-50,2019,15400,"028PA05","5*5",1,1,1,15400
5,-50,2019,17800,"028PA05","5*5",1,1,1,17800
5,-50,2019,29600,"028PA05","5*5",1,1,1,29600
5,-50,2019,48700,"028PA05","5*5",1,1,1,48700
5,-55,2019,94300,"028PA05","5*5",1,1,1,94300
5,-55,2019,63300,"028PA05","5*5",1,1,1,63300
5,-55,2019,57600,"028PA05","5*5",1,1,1,57600
5,-55,2019,31600,"028PA05","5*5",1,1,1,31600
5,-55,2019,32500,"028PA05","5*5",1,1,1,32500
10,-50,2019,5300,"028PA05","5*5",1,1,1,5300
10,-50,2019,21000,"028PA05","5*5",1,1,1,21000
10,-50,2019,5300,"028PA05","5*5",1,1,1,5300
